observation,action,reward,next_observation
[-0.00488609 -0.60402524  0.05753974  0.92567754],0,1.0,[-0.0169666  -0.7998751   0.07605329  1.2358736 ]
[-0.0169666  -0.7998751   0.07605329  1.2358736 ],1,1.0,[-0.0329641  -0.60580844  0.10077076  0.9679531 ]
[-0.0329641  -0.60580844  0.10077076  0.9679531 ],1,1.0,[-0.04508027 -0.41217333  0.12012982  0.70855045]
[-0.04508027 -0.41217333  0.12012982  0.70855045],1,1.0,[-0.05332373 -0.2189021   0.13430083  0.4559662 ]
[-0.05332373 -0.2189021   0.13430083  0.4559662 ],1,1.0,[-0.05770178 -0.02590916  0.14342016  0.20844945]
[-0.05770178 -0.02590916  0.14342016  0.20844945],0,1.0,[-0.05821996 -0.22275957  0.14758915  0.5427146 ]
[-0.05821996 -0.22275957  0.14758915  0.5427146 ],0,1.0,[-0.06267515 -0.4196138   0.15844344  0.87801963]
[-0.06267515 -0.4196138   0.15844344  0.87801963],0,1.0,[-0.07106743 -0.6164929   0.17600383  1.2160269 ]
[-0.07106743 -0.6164929   0.17600383  1.2160269 ],0,1.0,[-0.08339728 -0.81339294  0.20032437  1.5582925 ]
[-0.08339728 -0.81339294  0.20032437  1.5582925 ],0,1.0,[-0.09966514 -1.0102698   0.23149022  1.9062043 ]
[ 0.02806408  0.03074576 -0.03248356 -0.04041985],1,1.0,[ 0.028679    0.2263181  -0.03329196 -0.3431721 ]
[ 0.028679    0.2263181  -0.03329196 -0.3431721 ],1,1.0,[ 0.03320536  0.42189747 -0.0401554  -0.6461646 ]
[ 0.03320536  0.42189747 -0.0401554  -0.6461646 ],1,1.0,[ 0.04164331  0.61755526 -0.05307869 -0.95121723]
[ 0.04164331  0.61755526 -0.05307869 -0.95121723],1,1.0,[ 0.05399441  0.81334984 -0.07210304 -1.2600933 ]
[ 0.05399441  0.81334984 -0.07210304 -1.2600933 ],1,1.0,[ 0.07026141  1.0093163  -0.0973049  -1.5744591 ]
[ 0.07026141  1.0093163  -0.0973049  -1.5744591 ],0,1.0,[ 0.09044774  0.81547993 -0.12879409 -1.3136425 ]
[ 0.09044774  0.81547993 -0.12879409 -1.3136425 ],1,1.0,[ 0.10675734  1.0119752  -0.15506694 -1.643705  ]
[ 0.10675734  1.0119752  -0.15506694 -1.643705  ],1,1.0,[ 0.12699685  1.2085354  -0.18794103 -1.9804147 ]
[ 0.12699685  1.2085354  -0.18794103 -1.9804147 ],0,1.0,[ 0.15116754  1.0158231  -0.22754933 -1.7513665 ]
[-0.0044105  -0.02126877  0.04762905 -0.00790122],1,1.0,[-0.00483588  0.1731389   0.04747102 -0.28518438]
[-0.00483588  0.1731389   0.04747102 -0.28518438],1,1.0,[-0.0013731   0.3675528   0.04176734 -0.56252545]
[-0.0013731   0.3675528   0.04176734 -0.56252545],0,1.0,[ 0.00597796  0.1718704   0.03051683 -0.25698182]
[ 0.00597796  0.1718704   0.03051683 -0.25698182],0,1.0,[ 0.00941537 -0.02367365  0.02537719  0.04516824]
[ 0.00941537 -0.02367365  0.02537719  0.04516824],1,1.0,[ 0.00894189  0.17107539  0.02628056 -0.23940116]
[ 0.00894189  0.17107539  0.02628056 -0.23940116],1,1.0,[ 0.0123634   0.36581224  0.02149253 -0.52368   ]
[ 0.0123634   0.36581224  0.02149253 -0.52368   ],0,1.0,[ 0.01967965  0.1703945   0.01101893 -0.22430275]
[ 0.01967965  0.1703945   0.01101893 -0.22430275],1,1.0,[ 0.02308754  0.36535725  0.00653288 -0.5134896 ]
[ 0.02308754  0.36535725  0.00653288 -0.5134896 ],0,1.0,[ 0.03039468  0.1701439  -0.00373691 -0.21875519]
[ 0.03039468  0.1701439  -0.00373691 -0.21875519],1,1.0,[ 0.03379756  0.36531907 -0.00811202 -0.51261455]
[ 0.03379756  0.36531907 -0.00811202 -0.51261455],0,1.0,[ 0.04110394  0.17031232 -0.01836431 -0.22249894]
[ 0.04110394  0.17031232 -0.01836431 -0.22249894],1,1.0,[ 0.04451019  0.36569187 -0.02281429 -0.52091765]
[ 0.04451019  0.36569187 -0.02281429 -0.52091765],1,1.0,[ 0.05182402  0.5611274  -0.03323264 -0.82070154]
[ 0.05182402  0.5611274  -0.03323264 -0.82070154],1,1.0,[ 0.06304657  0.756688   -0.04964667 -1.123649  ]
[ 0.06304657  0.756688   -0.04964667 -1.123649  ],0,1.0,[ 0.07818033  0.5622508  -0.07211965 -0.84694266]
[ 0.07818033  0.5622508  -0.07211965 -0.84694266],1,1.0,[ 0.08942535  0.75827855 -0.0890585  -1.1614047 ]
[ 0.08942535  0.75827855 -0.0890585  -1.1614047 ],0,1.0,[ 0.10459092  0.56442225 -0.1122866  -0.8979213 ]
[ 0.10459092  0.56442225 -0.1122866  -0.8979213 ],0,1.0,[ 0.11587936  0.3709867  -0.13024503 -0.6425382 ]
[ 0.11587936  0.3709867  -0.13024503 -0.6425382 ],1,1.0,[ 0.1232991   0.56766045 -0.14309579 -0.973234  ]
[ 0.1232991   0.56766045 -0.14309579 -0.973234  ],1,1.0,[ 0.1346523   0.7643822  -0.16256048 -1.3072274 ]
[ 0.1346523   0.7643822  -0.16256048 -1.3072274 ],1,1.0,[ 0.14993995  0.9611477  -0.18870501 -1.646067  ]
[ 0.14993995  0.9611477  -0.18870501 -1.646067  ],1,1.0,[ 0.1691629   1.1579096  -0.22162636 -1.9911212 ]
[-0.00222732 -0.04380274 -0.0035222  -0.04250358],0,1.0,[-0.00310338 -0.238874   -0.00437227  0.24906598]
[-0.00310338 -0.238874   -0.00437227  0.24906598],1,1.0,[-0.00788086 -0.04368989  0.00060905 -0.04499284]
[-0.00788086 -0.04368989  0.00060905 -0.04499284],0,1.0,[-0.00875466 -0.23882057 -0.00029081  0.24788219]
[-0.00875466 -0.23882057 -0.00029081  0.24788219],0,1.0,[-0.01353107 -0.43393835  0.00466683  0.54047334]
[-0.01353107 -0.43393835  0.00466683  0.54047334],1,1.0,[-0.02220984 -0.23888233  0.0154763   0.24926454]
[-0.02220984 -0.23888233  0.0154763   0.24926454],1,1.0,[-0.02698748 -0.04398477  0.02046159 -0.03849694]
[-0.02698748 -0.04398477  0.02046159 -0.03849694],1,1.0,[-0.02786718  0.15083787  0.01969165 -0.32465446]
[-0.02786718  0.15083787  0.01969165 -0.32465446],1,1.0,[-0.02485042  0.34567398  0.01319856 -0.611063  ]
[-0.02485042  0.34567398  0.01319856 -0.611063  ],0,1.0,[-0.01793694  0.15037008  0.0009773  -0.31425235]
[-0.01793694  0.15037008  0.0009773  -0.31425235],1,1.0,[-0.01492954  0.3454781  -0.00530774 -0.6066269 ]
[-0.01492954  0.3454781  -0.00530774 -0.6066269 ],0,1.0,[-0.00801998  0.15043075 -0.01744028 -0.3156205 ]
[-0.00801998  0.15043075 -0.01744028 -0.3156205 ],1,1.0,[-0.00501136  0.34579673 -0.02375269 -0.61375207]
[-0.00501136  0.34579673 -0.02375269 -0.61375207],1,1.0,[ 0.00190457  0.5412424  -0.03602773 -0.91382056]
[ 0.00190457  0.5412424  -0.03602773 -0.91382056],0,1.0,[ 0.01272942  0.34662583 -0.05430415 -0.632675  ]
[ 0.01272942  0.34662583 -0.05430415 -0.632675  ],1,1.0,[ 0.01966194  0.54246163 -0.06695765 -0.94195324]
[ 0.01966194  0.54246163 -0.06695765 -0.94195324],1,1.0,[ 0.03051117  0.7384189  -0.08579671 -1.2549013 ]
[ 0.03051117  0.7384189  -0.08579671 -1.2549013 ],0,1.0,[ 0.04527955  0.5444939  -0.11089473 -0.99027705]
[ 0.04527955  0.5444939  -0.11089473 -0.99027705],0,1.0,[ 0.05616942  0.35101685 -0.13070028 -0.7343804 ]
[ 0.05616942  0.35101685 -0.13070028 -0.7343804 ],1,1.0,[ 0.06318976  0.54767895 -0.14538789 -1.0651741 ]
[ 0.06318976  0.54767895 -0.14538789 -1.0651741 ],0,1.0,[ 0.07414334  0.35474876 -0.16669136 -0.8214256 ]
[ 0.07414334  0.35474876 -0.16669136 -0.8214256 ],0,1.0,[ 0.08123831  0.1622519  -0.18311988 -0.5854632 ]
[ 0.08123831  0.1622519  -0.18311988 -0.5854632 ],1,1.0,[ 0.08448336  0.3594025  -0.19482915 -0.92978156]
[ 0.08448336  0.3594025  -0.19482915 -0.92978156],1,1.0,[ 0.09167141  0.5565445  -0.21342477 -1.2768179 ]
[-0.02289259 -0.04814981  0.00539916  0.00555816],1,1.0,[-0.02385559  0.14689429  0.00551032 -0.2854164 ]
[-0.02385559  0.14689429  0.00551032 -0.2854164 ],1,1.0,[-2.0917701e-02  3.4193721e-01 -1.9800487e-04 -5.7635629e-01]
[-2.0917701e-02  3.4193721e-01 -1.9800487e-04 -5.7635629e-01],1,1.0,[-0.01407896  0.5370619  -0.01172513 -0.8691016 ]
[-0.01407896  0.5370619  -0.01172513 -0.8691016 ],0,1.0,[-0.00333772  0.34210145 -0.02910716 -0.5801281 ]
[-0.00333772  0.34210145 -0.02910716 -0.5801281 ],1,1.0,[ 0.00350431  0.53761894 -0.04070973 -0.88183635]
[ 0.00350431  0.53761894 -0.04070973 -0.88183635],1,1.0,[ 0.01425669  0.7332695  -0.05834645 -1.1870344 ]
[ 0.01425669  0.7332695  -0.05834645 -1.1870344 ],1,1.0,[ 0.02892208  0.9290974  -0.08208714 -1.4974205 ]
[ 0.02892208  0.9290974  -0.08208714 -1.4974205 ],0,1.0,[ 0.04750403  0.73506355 -0.11203555 -1.2314563 ]
[ 0.04750403  0.73506355 -0.11203555 -1.2314563 ],1,1.0,[ 0.0622053   0.9314338  -0.13666467 -1.5570346 ]
[ 0.0622053   0.9314338  -0.13666467 -1.5570346 ],1,1.0,[ 0.08083398  1.1279024  -0.16780537 -1.889044  ]
[ 0.08083398  1.1279024  -0.16780537 -1.889044  ],1,1.0,[ 0.10339203  1.3244034  -0.20558625 -2.228759  ]
[ 0.10339203  1.3244034  -0.20558625 -2.228759  ],1,1.0,[ 0.12988009  1.5208032  -0.25016144 -2.5771723 ]
[ 0.01927546 -0.01325603 -0.01418476  0.04349614],1,1.0,[ 0.01901034  0.18206643 -0.01331484 -0.25362825]
[ 0.01901034  0.18206643 -0.01331484 -0.25362825],0,1.0,[ 0.02265167 -0.01286291 -0.01838741  0.03482537]
[ 0.02265167 -0.01286291 -0.01838741  0.03482537],0,1.0,[ 0.02239441 -0.20771642 -0.0176909   0.32165065]
[ 0.02239441 -0.20771642 -0.0176909   0.32165065],0,1.0,[ 0.01824009 -0.40258202 -0.01125789  0.6087025 ]
[ 0.01824009 -0.40258202 -0.01125789  0.6087025 ],0,1.0,[ 0.01018845 -0.5975448   0.00091616  0.8978183 ]
[ 0.01018845 -0.5975448   0.00091616  0.8978183 ],1,1.0,[-0.00176245 -0.40243527  0.01887253  0.6054235 ]
[-0.00176245 -0.40243527  0.01887253  0.6054235 ],1,1.0,[-0.00981116 -0.20758225  0.030981    0.31874424]
[-0.00981116 -0.20758225  0.030981    0.31874424],0,1.0,[-0.0139628  -0.40313143  0.03735588  0.6210342 ]
[-0.0139628  -0.40313143  0.03735588  0.6210342 ],0,1.0,[-0.02202543 -0.5987546   0.04977657  0.92524433]
[-0.02202543 -0.5987546   0.04977657  0.92524433],1,1.0,[-0.03400052 -0.40433902  0.06828146  0.6486104 ]
[-0.03400052 -0.40433902  0.06828146  0.6486104 ],1,1.0,[-0.0420873  -0.21023138  0.08125366  0.3781866 ]
[-0.0420873  -0.21023138  0.08125366  0.3781866 ],1,1.0,[-0.04629193 -0.01635174  0.0888174   0.11218893]
[-0.04629193 -0.01635174  0.0888174   0.11218893],0,1.0,[-0.04661896 -0.2126267   0.09106117  0.43151888]
[-0.04661896 -0.2126267   0.09106117  0.43151888],0,1.0,[-0.0508715  -0.4089121   0.09969155  0.7514621 ]
[-0.0508715  -0.4089121   0.09969155  0.7514621 ],0,1.0,[-0.05904974 -0.60525715  0.11472079  1.0737783 ]
[-0.05904974 -0.60525715  0.11472079  1.0737783 ],1,1.0,[-0.07115488 -0.4118228   0.13619636  0.8191878 ]
[-0.07115488 -0.4118228   0.13619636  0.8191878 ],0,1.0,[-0.07939134 -0.60851973  0.15258011  1.151419  ]
[-0.07939134 -0.60851973  0.15258011  1.151419  ],1,1.0,[-0.09156173 -0.41568154  0.1756085   0.91020703]
[-0.09156173 -0.41568154  0.1756085   0.91020703],0,1.0,[-0.09987537 -0.6126893   0.19381264  1.2525377 ]
[-0.09987537 -0.6126893   0.19381264  1.2525377 ],0,1.0,[-0.11212915 -0.8096922   0.2188634   1.5991343 ]
[ 0.02222424 -0.01911674 -0.02645062 -0.03508329],0,1.0,[ 0.0218419  -0.21384959 -0.02715229  0.24913824]
[ 0.0218419  -0.21384959 -0.02715229  0.24913824],0,1.0,[ 0.01756491 -0.40857348 -0.02216952  0.5331346 ]
[ 0.01756491 -0.40857348 -0.02216952  0.5331346 ],1,1.0,[ 0.00939344 -0.21314687 -0.01150683  0.23354942]
[ 0.00939344 -0.21314687 -0.01150683  0.23354942],1,1.0,[ 0.00513051 -0.0178624  -0.00683584 -0.06274082]
[ 0.00513051 -0.0178624  -0.00683584 -0.06274082],1,1.0,[ 0.00477326  0.17735688 -0.00809066 -0.35757264]
[ 0.00477326  0.17735688 -0.00809066 -0.35757264],1,1.0,[ 0.00832039  0.37259293 -0.01524211 -0.65279573]
[ 0.00832039  0.37259293 -0.01524211 -0.65279573],1,1.0,[ 0.01577225  0.5679238  -0.02829802 -0.950239  ]
[ 0.01577225  0.5679238  -0.02829802 -0.950239  ],1,1.0,[ 0.02713073  0.763415   -0.0473028  -1.2516769 ]
[ 0.02713073  0.763415   -0.0473028  -1.2516769 ],0,1.0,[ 0.04239903  0.56893    -0.07233634 -0.9741775 ]
[ 0.04239903  0.56893    -0.07233634 -0.9741775 ],0,1.0,[ 0.05377763  0.37484905 -0.09181989 -0.7050658 ]
[ 0.05377763  0.37484905 -0.09181989 -0.7050658 ],1,1.0,[ 0.06127461  0.57111526 -0.10592121 -1.0251821 ]
[ 0.06127461  0.57111526 -0.10592121 -1.0251821 ],1,1.0,[ 0.07269691  0.7674759  -0.12642485 -1.349155  ]
[ 0.07269691  0.7674759  -0.12642485 -1.349155  ],0,1.0,[ 0.08804643  0.57414883 -0.15340795 -1.0985488 ]
[ 0.08804643  0.57414883 -0.15340795 -1.0985488 ],1,1.0,[ 0.09952941  0.7709204  -0.17537892 -1.435165  ]
[ 0.09952941  0.7709204  -0.17537892 -1.435165  ],0,1.0,[ 0.11494782  0.57834077 -0.20408222 -1.2020242 ]
[ 0.11494782  0.57834077 -0.20408222 -1.2020242 ],0,1.0,[ 0.12651463  0.38635635 -0.22812271 -0.9796084 ]
[-0.01631247 -0.01291678 -0.01611074 -0.00192428],0,1.0,[-0.0165708  -0.20780402 -0.01614922  0.28563228]
[-0.0165708  -0.20780402 -0.01614922  0.28563228],1,1.0,[-0.02072688 -0.01245552 -0.01043658 -0.01209991]
[-0.02072688 -0.01245552 -0.01043658 -0.01209991],0,1.0,[-0.02097599 -0.20742625 -0.01067857  0.27727196]
[-0.02097599 -0.20742625 -0.01067857  0.27727196],0,1.0,[-0.02512452 -0.40239424 -0.00513314  0.56656784]
[-0.02512452 -0.40239424 -0.00513314  0.56656784],0,1.0,[-0.03317241 -0.5974438   0.00619822  0.8576292 ]
[-0.03317241 -0.5974438   0.00619822  0.8576292 ],0,1.0,[-0.04512128 -0.7926497   0.02335081  1.1522546 ]
[-0.04512128 -0.7926497   0.02335081  1.1522546 ],0,1.0,[-0.06097427 -0.98806834  0.0463959   1.4521673 ]
[-0.06097427 -0.98806834  0.0463959   1.4521673 ],0,1.0,[-0.08073564 -1.1837285   0.07543924  1.7589772 ]
[-0.08073564 -1.1837285   0.07543924  1.7589772 ],1,1.0,[-0.10441021 -0.9895376   0.11061879  1.4906774 ]
[-0.10441021 -0.9895376   0.11061879  1.4906774 ],1,1.0,[-0.12420096 -0.79592246  0.14043233  1.2344854 ]
[-0.12420096 -0.79592246  0.14043233  1.2344854 ],0,1.0,[-0.14011942 -0.9925421   0.16512203  1.567663  ]
[-0.14011942 -0.9925421   0.16512203  1.567663  ],1,1.0,[-0.15997025 -0.7997325   0.1964753   1.3307079 ]
[-0.15997025 -0.7997325   0.1964753   1.3307079 ],0,1.0,[-0.1759649  -0.9967137   0.22308946  1.6778879 ]
[ 0.0203454  -0.04075989 -0.00883737 -0.0033322 ],0,1.0,[ 0.01953021 -0.235754   -0.00890402  0.2865494 ]
[ 0.01953021 -0.235754   -0.00890402  0.2865494 ],0,1.0,[ 0.01481513 -0.43074784 -0.00317303  0.57641083]
[ 0.01481513 -0.43074784 -0.00317303  0.57641083],1,1.0,[ 0.00620017 -0.23558155  0.00835519  0.28272998]
[ 0.00620017 -0.23558155  0.00835519  0.28272998],0,1.0,[ 0.00148854 -0.4308217   0.01400979  0.57803637]
[ 0.00148854 -0.4308217   0.01400979  0.57803637],0,1.0,[-0.0071279  -0.62613714  0.02557052  0.87509954]
[-0.0071279  -0.62613714  0.02557052  0.87509954],0,1.0,[-0.01965064 -0.8215972   0.04307251  1.1757107 ]
[-0.01965064 -0.8215972   0.04307251  1.1757107 ],1,1.0,[-0.03608258 -0.62706053  0.06658672  0.89683574]
[-0.03608258 -0.62706053  0.06658672  0.89683574],1,1.0,[-0.04862379 -0.4329014   0.08452343  0.6258045 ]
[-0.04862379 -0.4329014   0.08452343  0.6258045 ],0,1.0,[-0.05728182 -0.6290952   0.09703952  0.9438649 ]
[-0.05728182 -0.6290952   0.09703952  0.9438649 ],1,1.0,[-0.06986373 -0.43540505  0.11591682  0.6831814 ]
[-0.06986373 -0.43540505  0.11591682  0.6831814 ],1,1.0,[-0.07857183 -0.24206723  0.12958045  0.42912412]
[-0.07857183 -0.24206723  0.12958045  0.42912412],1,1.0,[-0.08341317 -0.0489956   0.13816293  0.1799348 ]
[-0.08341317 -0.0489956   0.13816293  0.1799348 ],0,1.0,[-0.08439308 -0.2457964   0.14176163  0.51281375]
[-0.08439308 -0.2457964   0.14176163  0.51281375],0,1.0,[-0.08930901 -0.44260058  0.1520179   0.84659714]
[-0.08930901 -0.44260058  0.1520179   0.84659714],1,1.0,[-0.09816102 -0.24984291  0.16894984  0.6053164 ]
[-0.09816102 -0.24984291  0.16894984  0.6053164 ],0,1.0,[-0.10315788 -0.44687426  0.18105617  0.9460907 ]
[-0.10315788 -0.44687426  0.18105617  0.9460907 ],1,1.0,[-0.11209536 -0.25459152  0.199978    0.7153213 ]
[-0.11209536 -0.25459152  0.199978    0.7153213 ],0,1.0,[-0.11718719 -0.45183688  0.21428442  1.0636954 ]
[-0.01942776  0.02745308  0.04770308 -0.02104652],0,1.0,[-0.0188787  -0.16831937  0.04728215  0.2862975 ]
[-0.0188787  -0.16831937  0.04728215  0.2862975 ],1,1.0,[-0.02224509  0.0260975   0.0530081   0.00889388]
[-0.02224509  0.0260975   0.0530081   0.00889388],0,1.0,[-0.02172314 -0.16974302  0.05318598  0.31781912]
[-0.02172314 -0.16974302  0.05318598  0.31781912],1,1.0,[-0.025118    0.02458267  0.05954236  0.04237208]
[-0.025118    0.02458267  0.05954236  0.04237208],1,1.0,[-0.02462635  0.2188025   0.0603898  -0.23094627]
[-0.02462635  0.2188025   0.0603898  -0.23094627],1,1.0,[-0.0202503   0.41301185  0.05577087 -0.50398546]
[-0.0202503   0.41301185  0.05577087 -0.50398546],1,1.0,[-0.01199006  0.6073053   0.04569117 -0.7785843 ]
[-0.01199006  0.6073053   0.04569117 -0.7785843 ],0,1.0,[ 1.5604553e-04  4.1158584e-01  3.0119479e-02 -4.7188303e-01]
[ 1.5604553e-04  4.1158584e-01  3.0119479e-02 -4.7188303e-01],1,1.0,[ 0.00838776  0.6062697   0.02068182 -0.7549226 ]
[ 0.00838776  0.6062697   0.02068182 -0.7549226 ],1,1.0,[ 0.02051316  0.80110055  0.00558337 -1.0410264 ]
[ 0.02051316  0.80110055  0.00558337 -1.0410264 ],0,1.0,[ 0.03653517  0.6059049  -0.01523716 -0.7465959 ]
[ 0.03653517  0.6059049  -0.01523716 -0.7465959 ],1,1.0,[ 0.04865326  0.8012337  -0.03016908 -1.0440347 ]
[ 0.04865326  0.8012337  -0.03016908 -1.0440347 ],1,1.0,[ 0.06467794  0.99674296 -0.05104977 -1.3460335 ]
[ 0.06467794  0.99674296 -0.05104977 -1.3460335 ],0,1.0,[ 0.08461279  0.8022987  -0.07797045 -1.0697492 ]
[ 0.08461279  0.8022987  -0.07797045 -1.0697492 ],0,1.0,[ 0.10065877  0.6082896  -0.09936543 -0.8025198 ]
[ 0.10065877  0.6082896  -0.09936543 -0.8025198 ],0,1.0,[ 0.11282457  0.41466045 -0.11541583 -0.54267406]
[ 0.11282457  0.41466045 -0.11541583 -0.54267406],1,1.0,[ 0.12111777  0.61119914 -0.12626931 -0.8693778 ]
[ 0.12111777  0.61119914 -0.12626931 -0.8693778 ],1,1.0,[ 0.13334176  0.8077918  -0.14365686 -1.1989436 ]
[ 0.13334176  0.8077918  -0.14365686 -1.1989436 ],1,1.0,[ 0.1494976   1.0044501  -0.16763574 -1.5329823 ]
[ 0.1494976   1.0044501  -0.16763574 -1.5329823 ],1,1.0,[ 0.1695866   1.2011482  -0.19829538 -1.8729479 ]
[ 0.1695866   1.2011482  -0.19829538 -1.8729479 ],1,1.0,[ 0.19360957  1.3978074  -0.23575434 -2.2200737 ]
[-0.00076688  0.03721138 -0.0165302  -0.03608802],0,1.0,[-2.2653407e-05 -1.5766968e-01 -1.7251963e-02  2.5133395e-01]
[-2.2653407e-05 -1.5766968e-01 -1.7251963e-02  2.5133395e-01],1,1.0,[-0.00317605  0.03769433 -0.01222528 -0.04674026]
[-0.00317605  0.03769433 -0.01222528 -0.04674026],0,1.0,[-0.00242216 -0.1572502  -0.01316009  0.24206056]
[-0.00242216 -0.1572502  -0.01316009  0.24206056],0,1.0,[-0.00556716 -0.35218173 -0.00831888  0.53056353]
[-0.00556716 -0.35218173 -0.00831888  0.53056353],0,1.0,[-0.0126108  -0.54718566  0.00229239  0.8206136 ]
[-0.0126108  -0.54718566  0.00229239  0.8206136 ],1,1.0,[-0.02355451 -0.35209516  0.01870467  0.5286526 ]
[-0.02355451 -0.35209516  0.01870467  0.5286526 ],1,1.0,[-0.03059641 -0.15724128  0.02927772  0.24192178]
[-0.03059641 -0.15724128  0.02927772  0.24192178],1,1.0,[-0.03374124  0.03745048  0.03411615 -0.0413843 ]
[-0.03374124  0.03745048  0.03411615 -0.0413843 ],1,1.0,[-0.03299223  0.23206702  0.03328847 -0.32311103]
[-0.03299223  0.23206702  0.03328847 -0.32311103],0,1.0,[-0.02835089  0.03648726  0.02682625 -0.02011893]
[-0.02835089  0.03648726  0.02682625 -0.02011893],0,1.0,[-0.02762115 -0.15900894  0.02642387  0.2809058 ]
[-0.02762115 -0.15900894  0.02642387  0.2809058 ],0,1.0,[-0.03080132 -0.35449764  0.03204199  0.5818042 ]
[-0.03080132 -0.35449764  0.03204199  0.5818042 ],0,1.0,[-0.03789128 -0.55005354  0.04367807  0.88440627]
[-0.03789128 -0.55005354  0.04367807  0.88440627],0,1.0,[-0.04889235 -0.7457405   0.06136619  1.190494  ]
[-0.04889235 -0.7457405   0.06136619  1.190494  ],1,1.0,[-0.06380716 -0.5514651   0.08517607  0.91765976]
[-0.06380716 -0.5514651   0.08517607  0.91765976],1,1.0,[-0.07483646 -0.35759154  0.10352927  0.65291524]
[-0.07483646 -0.35759154  0.10352927  0.65291524],1,1.0,[-0.08198829 -0.16405204  0.11658757  0.39454365]
